1RXSJ051111.1+281353,5000.0,17.4304,73.9635,0.3631,0.0172,0.794,85.57858,57.379719,29.9989,613.567,0.1221,0.0044,0.0198,647.019695,577.880203
AlphaCrb,9750.0,14.1544,127.3464,0.7374,0.0079,0.4274,128.883082,126.343987,21.6934,999.9738,0.2075,0.9998,0.0014,999.012879,991.017512
BD+20307,6500.0,0.3478,257.1589,0.9898,0.016,0.3212,258.845327,254.735591,4.6854,870.7958,0.9629,0.2383,0.4847,879.331508,868.491026
BetaPic,8500.0,14.6938,118.2489,0.7561,0.0363,0.5816,118.989885,117.518154,8.2872,953.3359,0.8277,0.6402,0.3365,959.922565,952.71328
EfCha,8500.0,11.3291,178.2758,0.035,0.2047,0.217,179.141728,177.511226,2.9722,999.6296,0.4946,0.2672,0.9993,999.866757,997.607266
EtaCrv,7000.0,3.4226,150.6244,0.9224,0.0809,0.1128,145.814788,142.835794,6.5895,524.4953,0.7634,0.0236,0.478,494.428273,485.747838
EtaTel,9500.0,20.5692,120.4862,0.2317,0.094,0.2065,121.592414,119.433075,5.0029,303.3103,0.393,0.0921,0.3167,307.203687,300.067721
GamOph,9250.0,10.2254,96.8024,0.5865,0.0816,0.2817,97.729423,96.190481,10.8825,520.903,0.3366,0.9296,0.4817,523.646495,516.532619
HD104231,6750.0,3.9462,159.9308,0.893,0.0037,0.8781,160.616125,154.080024,22.1545,624.9198,0.875,0.0091,0.9924,627.518885,607.154284
HD104600,12000.0,7.3491,117.7866,0.3001,0.0068,0.7247,118.630451,116.750794,20.746,300.4917,0.2779,0.2442,0.2183,302.417446,295.333895
HD10472,7000.0,6.5427,93.4332,0.4627,0.1144,0.4122,94.75957,91.735365,22.4905,612.7082,0.1236,0.5292,0.2824,619.338658,607.076624
HD105613,9000.0,4.3229,138.8436,0.7132,0.0333,0.0701,147.645104,136.676344,6.9979,451.728,0.0646,0.0154,0.4751,459.522995,445.245965
HD105850,9250.0,6.3723,97.6789,0.607,0.0744,0.6402,100.687411,97.811711,21.7086,562.5203,0.9916,0.0135,0.0256,585.12861,566.824938
HD105857,9000.0,5.2238,188.9572,0.4129,0.0437,0.3039,190.586538,187.632457,28.4434,496.8935,0.5863,0.0042,0.6584,501.791352,492.192046
HD106036,9000.0,8.8424,163.2875,0.1969,0.2276,0.0049,164.225746,162.203862,5.0563,503.9979,0.2588,0.4475,0.4572,507.697156,480.748915
HD10638,9250.0,6.7593,74.9254,0.713,0.0418,0.3423,76.296685,72.859624,6.8011,433.0776,0.5789,0.9678,0.6157,440.901468,428.313836
HD106797,10000.0,7.3107,148.2473,0.7585,0.0077,0.1147,151.104812,147.555672,6.9749,473.6335,0.4228,0.4051,0.2709,486.529249,478.320518
HD106906,6750.0,6.9501,103.0965,0.8245,0.0342,0.2771,104.040774,101.945223,3.8618,275.7889,0.6156,0.0106,0.4343,279.831629,271.502397
HD107301,11500.0,9.1284,165.5761,0.1429,0.0003,0.1932,165.86851,163.399318,28.7696,604.6872,0.6387,0.0012,0.4713,615.291584,603.496839
HD107947,10000.0,24.4517,135.809,0.3693,0.0,0.1832,137.794298,132.486245,11.1686,432.8027,0.8858,0.0695,0.0047,446.642259,418.949703
HD108857,6750.0,22.2954,105.8783,0.8464,0.2204,0.2391,105.167006,103.233652,26.2093,316.9729,0.2964,0.0025,0.6614,326.653616,316.740495
HD108904,6750.0,1.5391,272.6794,0.1764,0.0936,0.6761,271.383006,259.302298,3.5865,154.4869,0.4462,0.0835,0.7277,154.946706,133.426044
HD109573,10000.0,7.8025,102.3168,0.0356,0.0301,0.2841,102.638246,102.155156,3.6715,294.9503,0.3255,0.4762,0.5298,304.480277,296.734205
HD109704,9000.0,6.5947,108.1162,0.3526,0.6999,0.0106,108.053321,104.580646,11.1505,616.724,0.8774,0.2363,0.9371,616.788088,572.657823
HD109832,7250.0,6.0969,111.0798,0.934,0.0086,0.0544,111.838081,110.194553,10.5109,344.7923,0.0561,0.0251,0.2615,348.298806,339.970406
HD110058,9000.0,6.8102,113.5994,0.1784,0.036,0.0464,114.083314,112.718961,13.7553,594.6333,0.2357,0.0091,0.6868,593.466338,584.557898
HD110411,9500.0,7.2531,82.639,0.2281,0.012,0.0823,84.470868,82.528173,18.7875,489.1997,0.0887,0.045,0.3142,496.266857,486.586582
HD111520,6750.0,6.6319,101.9937,0.9905,0.1532,0.2994,103.789555,100.482873,23.4933,488.8672,0.3567,0.9873,0.8105,477.291203,443.066971
HD112383,9250.0,2.8012,97.7258,0.4583,0.0236,0.2637,98.593316,96.697182,18.1239,300.3343,0.0417,0.0074,0.4162,304.714724,296.917125
HD113457,10000.0,17.9834,155.5838,0.9895,0.0113,0.2787,155.602449,152.679493,5.1324,387.8916,0.0916,0.1114,0.2938,394.702836,382.670677
HD113556,7250.0,14.3484,83.7298,0.3023,0.3419,0.1589,85.615315,80.833129,15.1672,456.1379,0.0004,0.1493,0.9877,455.094142,429.736537
HD113766,7250.0,15.8854,196.1514,0.5007,0.767,0.0089,196.885297,195.514533,3.2742,724.8448,0.5531,0.4976,0.4748,727.602442,722.281763
HD114082,6750.0,4.4805,113.3271,0.4386,0.1024,0.9177,114.260678,112.34177,21.7832,535.0046,0.4525,0.0595,0.7674,538.862992,530.989375
HD115361,6750.0,17.6857,96.0512,0.3519,0.0008,0.3593,98.284922,93.491745,29.1514,250.3764,0.7236,0.0057,0.9975,257.498434,244.292968
HD117214,6500.0,4.6421,113.9728,0.8986,0.0249,0.8462,114.881362,112.937765,28.8358,629.464,0.8408,0.0084,0.6009,633.305815,625.699613
HD117484,10500.0,8.0329,97.457,0.359,0.0078,0.3506,96.494882,92.381741,5.565,280.7409,0.3366,0.0123,0.7722,281.112432,271.417739
HD117524,5500.0,15.9411,36.3159,0.0864,0.7847,0.7123,35.996978,30.202776,29.9926,539.9944,0.9998,0.5659,0.6827,548.504634,523.859125
HD117665,9250.0,3.7801,108.3671,0.3887,0.0012,0.996,115.408397,106.985242,6.9438,306.4762,0.1659,0.186,0.6381,313.446822,303.213613
HD118379,9000.0,13.9354,100.1093,0.433,0.0004,0.3879,100.509509,98.476051,10.4225,264.1397,0.7049,0.1512,0.1072,276.254235,265.306495
HD118588,9250.0,7.4073,134.3168,0.4322,0.0403,0.0983,131.385067,127.783753,7.341,317.7566,0.5439,0.0027,0.5498,314.04733,293.655397
HD120326,7500.0,6.7578,121.5966,0.7764,0.0226,0.0699,122.799783,120.745871,6.7628,247.9322,0.8297,0.4109,0.1659,237.341963,217.487944
HD122705,9250.0,3.3274,89.5353,0.3249,0.0844,0.0951,93.518362,88.86291,7.0393,395.2302,0.7445,0.0373,0.303,397.202963,388.976635
HD124619,7250.0,14.026,104.4302,0.338,0.1349,0.1658,107.346067,103.99579,29.1489,484.9079,0.342,0.004,0.2414,498.588041,483.004484
HD125541,7500.0,4.7525,121.8294,0.7513,0.1126,0.5741,123.306317,118.568564,12.0292,393.0424,0.4818,0.0492,0.0686,397.481892,383.949286
HD126062,9250.0,6.7139,101.1937,0.5189,0.0127,0.03,102.557527,99.267062,14.0071,416.2939,0.2916,0.0175,0.8823,422.256806,409.187935
HD126135,11000.0,4.4268,91.4506,0.713,0.4061,0.0588,92.97391,88.545506,8.8271,333.9714,0.557,0.001,0.3641,339.313498,325.662926
HD127750,9750.0,3.0409,56.316,0.7192,0.0123,0.9777,58.191335,56.05643,3.6506,292.776,0.7347,0.1635,0.7282,304.717313,292.328125
HD129590,6000.0,7.3176,87.3724,0.5438,0.0496,0.2063,87.764994,86.853212,21.9138,431.6817,0.9944,0.0012,0.1393,433.440979,424.274758
HD132238,12500.0,23.7659,142.6992,0.7325,0.2564,0.8022,146.4456,139.873632,23.0643,352.0021,0.8565,0.1417,0.0074,369.287019,348.926961
HD133803,7500.0,25.5906,71.3421,0.7274,0.3321,0.0656,74.099477,70.157857,6.218,250.0297,0.851,0.0328,0.0896,249.50679,242.293789
HD134888,6750.0,14.0757,94.9524,0.444,0.0395,0.7731,95.950618,93.056454,27.0467,603.6612,0.0701,0.0896,0.8217,607.964463,589.197742
HD135379,8750.0,5.9544,155.5333,0.573,0.0044,0.5389,156.837847,154.336122,5.1974,420.3608,0.2613,0.0237,0.7631,435.949486,411.561135
HD136347,10500.0,24.2937,43.8027,0.8164,0.8541,0.7421,50.901304,42.027802,29.9816,501.2727,0.3638,0.9974,0.9976,517.439909,487.985802
HD136482,11500.0,15.3835,160.294,0.0793,0.1082,0.118,163.91269,158.422641,10.5522,526.7652,0.5307,0.3827,0.527,542.759662,520.375432
HD137057,7000.0,4.6716,100.3798,0.1612,0.1006,0.1843,101.528327,99.054802,28.2899,353.1838,0.2638,0.0002,0.8283,357.14526,348.922985
HD137119,9000.0,5.339,163.5998,0.1516,0.0632,0.1819,164.376877,161.706643,8.719,346.0071,0.2097,0.0287,0.2639,356.180693,344.845988
HD138813,9750.0,14.5308,122.4366,0.3566,0.0757,0.8051,123.430116,121.983324,12.3185,501.0663,0.2325,0.324,0.9494,505.149727,497.677154
