CPD-60994,1.1702494
1RXSJ051111.1+281353,0.68389978
[PZ99]J155847.8-175800,0.31288128
[PZ99]J161459.2-275023,0.2816636
49cet,1.5946663
78Her,2.075122
AlphaCrb,2.7535786
BD+003170,1.5765217
BD+20307,0.49827898
BD+47837,0.59617952
BetaLeo,1.2780305
BetaPic,1.0059653
BetaUma,2.6788029
CCDMJ23507-2554AB,1.138667
CD-261137,0.56937107
CD-3019671,0.31756277
CD-483575,0.79254864
CD-493371,0.80735965
CD-493390,0.69957935
CD-522472,0.39686443
CD-65149,0.40863229
CPD-481496,0.94222728
CPD-601007,1.0499536
CPD-60986,1.3258459
EfCha,1.2877267
EtaCrv,0.74756037
EtaTel,1.5196137
GamOph,1.6508136
GamTri,1.8313508
GSC08911-03279,0.79409192
HD10008,0.23206444
HD101088,1.5880876
HD101132,1.1123881
HD101259,1.3403239
HD102458,0.5626187
HD102579,0.24415656
HD102902,1.0064754
HD103234,0.73627319
HD103266,1.3792316
HD103703,0.68022424
HD104231,0.54450309
HD104600,2.556149
HD10472,0.62300281
HD104860,0.40206158
HD105,0.39966808
HD1051,1.1992658
HD105211,0.90030153
HD105613,1.2497002
HD105850,1.4573168
HD105857,1.1955469
HD105912,0.65331892
HD105994,0.76748383
HD106036,1.2943517
HD10638,1.311443
HD106389,0.46703716
HD10647,0.42288941
HD106591,1.66856
HD106678,1.5482714
HD106797,2.2345605
HD106906,0.77557469
HD107146,0.37231302
HD107301,2.2884327
HD107649,0.40522112
HD107947,1.4837012
HD108257,8.2453353
HD108857,0.72237812
HD108874,0.39493334
HD108904,0.77738181
HD10939,1.8796231
HD109391,0.55050698
HD109573,1.5886872
HD109704,1.4220521
HD109832,0.80147997
HD110035,0.25686235
HD110058,0.89755644
HD110411,1.3484499
HD110634,0.7116463
HD110897,0.39019372
HD111102,1.4831786
HD111103,0.5641178
HD111170,0.80962427
HD111347,0.56786632
HD111520,0.57090591
HD112383,1.5759987
HD112429,0.83291786
HD112810,0.62330422
HD113319,0.31875154
HD113337,0.69476988
HD113457,1.5339354
HD113524,0.53230462
HD113556,0.75925782
HD113766,1.3837777
HD113902,3.3848196
HD114082,0.5669862
HD115361,0.70891654
HD115600,0.75176298
HD115617,0.28935961
HD115820,0.87754126
HD115892,1.5826588
HD116099,0.40886803
HD116956,0.2544175
HD117043,0.34869193
HD117176,0.59812553
HD117214,0.71114837
HD117376,2.0119201
HD117484,1.6200402
HD117524,0.62679764
HD117665,1.5020279
HD117716,1.6341515
HD118216,1.7465757
HD118232,2.1419365
HD118379,1.319007
HD118588,1.209105
HD118938,1.1477566
HD118972,0.20980047
HD119124,0.47910102
HD119511,0.59991658
HD119718,0.99709881
HD120160,1.1786809
HD120326,0.73545423
HD12039,0.3391162
HD120534,0.80862855
HD121189,0.63497256
HD121336,2.802354
HD122652,0.44198976
HD122705,1.1039278
HD122727,0.70311282
HD122948,0.28309577
HD123889,0.9143597
HD124498,0.12058607
HD124619,0.78404477
HD12467,1.5135673
HD12471,3.2181653
HD124988,1.251255
HD125283,1.5365205
HD125451,0.65506978
HD125473,4.0117469
HD125541,0.59377079
HD126062,1.4668016
HD126135,2.35795
HD12675,1.2136219
HD127726,1.625161
