Name,Temp1,Tushar_Dist1,Oliv_Dist1,Pyro_Dist1,Fors_Dist1,Enst_Dist1,Temp2,Tushar_Dist2,Oliv_Dist2,Pyro_Dist2,Fors_Dist2,Enst_Dist2
HD17848,      78.2868,location1,       97.446979,       99.162470,       23.938163,       54.257976,      740.328,location2,       1.2399751,       1.4497046,      0.45307024,      0.51754391
HD181327,      81.8966,location1,       35.910867,       36.563033,       6.0016750,       19.474730,      338.897,location2,       1.9660050,       1.8406232,      0.31986705,      0.76753117
HD182919,      101.979,location1,       65.244532,       65.108995,       14.370912,       45.932554,      279.997,location2,       9.4557537,       9.3669424,       2.0566715,       6.5054279
HD184930,      119.921,location1,       190.95761,       188.52000,       55.989981,       168.62642,      690.565,location2,       7.1306434,       8.2144327,       2.9543941,       5.3565385
HD191089,      99.3347,location1,       22.003606,       21.555646,       4.1666850,       11.276218,      243.660,location2,       3.8113785,       3.7206842,       1.1062185,       1.9598037
HD191174,      117.854,location1,       37.968553,       37.931405,       9.6022050,       22.969684,      456.993,location2,       3.0880751,       3.0828048,      0.72994048,       1.4949886
HD221853,      89.4758,location1,       34.935869,       34.251424,       8.2206797,       16.683160,      101.366,location2,       25.873026,       25.033422,       8.2222348,       12.701497
HD23267,      216.308,location1,       16.381090,       16.347828,       2.6924375,       12.049904,      115.066,location2,       56.803274,       56.398156,       12.562689,       42.293040
HD24141,      99.8580,location1,       40.440412,       39.136304,       12.560990,       18.900686,      310.393,location2,       4.3488606,       4.2041827,      0.77826453,       1.7558680
HD24966,      92.6841,location1,       72.467074,       76.074971,       13.048157,       59.611968,      455.861,location2,       3.3367261,       3.4127885,       1.1942849,       1.9020278
HD3003,      163.033,location1,       20.230736,       20.020146,       4.0830976,       13.616565,      710.558,location2,       1.5218727,       1.7266706,      0.41353921,      0.72821726
HD32297,      91.6679,location1,       33.749263,       33.856881,       8.7779691,       15.644441,      312.119,location2,       3.1599380,       3.0838811,      0.64704333,       1.2862414
HD34324,      39.3347,location1,       622.46269,       670.41297,       249.19697,       397.41857,      150.470,location2,       18.634656,       18.237127,       3.8438275,       10.325833
HD35150,      137.330,location1,       23.768655,       23.514523,       3.0919988,       10.372145,      451.671,location2,       2.4297349,       2.5285850,      0.87510731,       1.0825179
HD37286,      143.232,location1,       16.440594,       16.112105,       3.0580280,       7.8527971,      506.612,location2,       1.7265481,       1.7280908,      0.36695439,      0.63117694
HD37306,      107.357,location1,       43.683459,       43.780902,       8.9311339,       29.194485,      606.335,location2,       1.8216478,       1.9144343,      0.41870164,      0.86667395
HD37564,      156.588,location1,       35.799602,       34.893676,       6.1103412,       16.511393,      953.232,location2,       1.2644176,       1.5372195,      0.68886160,      0.56564383
HD38206,      85.0740,location1,       103.94813,       103.61295,       34.681126,       74.968611,      369.833,location2,       6.1166369,       6.0201636,      0.88501475,       4.3170642
HD40540,      87.4646,location1,       39.305048,       38.733075,       8.9431410,       18.115195,      373.317,location2,       2.4476002,       2.4012954,      0.56413245,      0.97683439
HD5267,      79.7739,location1,       171.98912,       173.23757,       39.582456,       125.14024,      536.777,location2,       4.7930997,       4.9507452,      0.98454370,       2.7290511
HD53842,      131.252,location1,       11.263799,       10.826991,       2.7386796,       5.4473921,      397.436,location2,       1.4663293,       1.4529345,      0.38741521,      0.63398127
HD6798,      89.2417,location1,       121.26317,       131.61006,       22.991295,       85.867216,      257.239,location2,       11.815501,       11.560786,       2.0396917,       6.7355507
HD68420,      98.7716,location1,       48.502648,       47.425274,       13.258612,       24.490013,      406.275,location2,       3.3885625,       3.4763216,       1.1359715,       1.7013897
HD69830,      211.429,location1,       2.0371273,       1.9164678,      0.45067529,       1.0902095,      406.058,location2,      0.78512348,      0.59508736,     0.058753762,      0.21712934
HD71043,      131.723,location1,       35.655068,       35.793947,       6.4982771,       25.106379,      423.937,location2,       4.2087546,       4.2505621,      0.95417518,       2.4622708
HD71155,      76.1535,location1,       252.37641,       271.16474,       47.785611,       220.48757,      280.623,location2,       11.752731,       11.475333,       1.5465285,       8.0814572
HD74873,      128.449,location1,       29.693358,       28.916911,       8.9217461,       17.088111,      489.951,location2,       2.4293419,       2.4329338,      0.58670561,       1.0679967
HD75416,      196.791,location1,       40.081235,       39.486168,       10.917089,       35.564635,      469.391,location2,       8.3564384,       8.7670336,       2.7216173,       6.3595327
HD84870,      67.1183,location1,       98.656132,       100.55298,       26.933346,       47.740187,      553.418,location2,       1.4568096,       1.5541109,      0.43058086,      0.56405410
HD86087,      94.7174,location1,       121.27295,       124.11519,       28.001922,       106.10268,      476.020,location2,       5.5532049,       5.5891250,       1.0282309,       3.5697103
HD98363,      291.794,location1,       5.2110352,       5.1946899,       1.6419389,       2.8507578,      109.321,location2,       42.026309,       41.520196,       5.2687780,       20.082730
ID8,      76.6092,location1,       28.218334,       27.440538,       6.3327346,       15.696204,      382.617,location2,       1.0610085,      0.79356186,     0.064317393,      0.29034203
ZetaLep,      141.019,location1,       25.741405,       25.222155,       6.3618941,       16.309430,      447.836,location2,       3.1326220,       3.1183722,      0.63302577,       1.6662103
