#Extracted MIPS SED data
#  extract_sed.pro IDL program (KDG)
#
# flux unc is only based on sky noise - does not include absolute uncertainties
# sky not subtracted when the profile was extracted [sky column for info only]
# wavelength [micron], flux [Jy], flux unc [Jy], S/N, sky [Jy]
   52.26    7.63E-01    1.31E-02     58.14    3.62E-02
   53.97    8.83E-01    4.52E-02     19.53    8.18E-02
   55.68    8.28E-01    7.73E-02     10.72    2.99E-02
   57.39    8.25E-01    3.98E-02     20.73    4.27E-02
   59.10    8.82E-01    9.92E-02      8.89    9.76E-03
   60.81    8.54E-01    5.87E-02     14.55    8.08E-02
   62.52    8.68E-01    2.50E-02     34.73    3.05E-02
   64.23    9.41E-01    6.29E-02     14.98    4.38E-02
   65.94    7.59E-01    3.19E-02     23.77    7.34E-02
   67.65    8.97E-01    3.31E-02     27.11    1.97E-01
   69.36    9.07E-01    3.42E-02     26.54    3.39E-01
   71.07    9.02E-01    6.93E-02     13.02    2.40E-01
   72.78    8.59E-01    5.38E-02     15.98    1.64E-01
   74.49    9.08E-01    6.67E-02     13.61    7.33E-02
   76.20    8.35E-01    3.28E-02     25.47    5.11E-02
   77.91    9.01E-01    6.40E-02     14.09    6.36E-03
   79.62    7.39E-01    9.75E-02      7.58   -3.34E-02
   81.33    7.42E-01    8.79E-02      8.44    3.65E-01
   83.04    8.13E-01    5.33E-02     15.24    1.92E-01
   84.75    8.24E-01    7.86E-02     10.49    2.22E-02
   86.46    8.08E-01    9.84E-02      8.21    1.13E-01
   88.17    8.16E-01    1.51E-01      5.42   -1.13E-01
   89.88    9.61E-01    2.45E-01      3.93    2.79E-01
   91.59    1.17E+00    1.90E-01      6.16    6.29E-01
   93.30    1.22E+00    2.33E-01      5.24    1.33E-01
