#Extracted MIPS SED data
#  extract_sed.pro IDL program (KDG)
#
# flux unc is only based on sky noise - does not include absolute uncertainties
# sky not subtracted when the profile was extracted [sky column for info only]
# wavelength [micron], flux [Jy], flux unc [Jy], S/N, sky [Jy]
   52.26    4.80E-01    6.73E-02      7.13   -3.35E-02
   53.97    5.52E-01    3.70E-02     14.92    1.85E-02
   55.68    4.93E-01    3.08E-02     15.98    2.05E-02
   57.39    5.12E-01    3.19E-02     16.03    2.25E-02
   59.10    5.10E-01    2.18E-02     23.37    6.42E-02
   60.81    5.24E-01    5.79E-02      9.05   -2.13E-02
   62.52    5.27E-01    3.83E-02     13.77    1.10E-02
   64.23    4.94E-01    9.75E-03     50.71   -7.60E-02
   65.94    5.19E-01    3.19E-02     16.25   -7.98E-03
   67.65    4.70E-01    6.12E-02      7.68    7.46E-03
   69.36    4.41E-01    5.85E-02      7.54    2.27E-02
   71.07    4.07E-01    3.36E-02     12.12    2.39E-03
   72.78    4.34E-01    6.75E-02      6.42   -8.69E-02
   74.49    3.45E-01    4.36E-02      7.90   -6.18E-02
   76.20    4.14E-01    4.98E-02      8.32   -3.64E-04
   77.91    3.01E-01    5.14E-02      5.86   -5.80E-02
   79.62    3.65E-01    5.75E-02      6.34   -1.44E-01
   81.33    3.69E-01    4.64E-02      7.96   -2.70E-02
   83.04    2.25E-01    3.64E-02      6.17   -1.71E-01
   84.75    3.72E-01    5.10E-02      7.28    3.57E-02
   86.46    2.59E-01    8.36E-02      3.09    1.49E-01
   88.17    2.43E-01    8.46E-02      2.88    1.83E-02
   # 89.88    4.62E-01    1.24E-01      3.74    3.92E-02
   # 91.59    8.91E-01    9.18E-02      9.71    3.11E-01
   # 93.30    5.79E-01    1.42E-01      4.06   -1.93E-01
