# L um,San 8K ,L um,San 20K ,L um,san carlos 50K,L um,san carlos 100K,L um,san carlos 200K mir&fir,L um,san 292K
1.25516E+01,3.12619E+02,1.33257E+01,2.32945E+02,1.25516E+01,3.75147E+02,1.25516E+01,3.76037E+02,1.00201E+01,4.83678E+03,9.94797E+00,4.23877E+03
1.25478E+01,3.13560E+02,1.33215E+01,2.36655E+02,1.25478E+01,3.68553E+02,1.25478E+01,3.73163E+02,1.00152E+01,4.82300E+03,9.94320E+00,4.19344E+03
1.25440E+01,3.21436E+02,1.33172E+01,2.39213E+02,1.25440E+01,3.75254E+02,1.25440E+01,3.76192E+02,1.00104E+01,4.81366E+03,9.93844E+00,4.14604E+03
1.25402E+01,3.19629E+02,1.33129E+01,2.40484E+02,1.25402E+01,3.79014E+02,1.25402E+01,3.81240E+02,1.00056E+01,4.80253E+03,9.93368E+00,4.09726E+03
1.25364E+01,3.20245E+02,1.33086E+01,2.39570E+02,1.25364E+01,3.85154E+02,1.25364E+01,3.83927E+02,1.00007E+01,4.78505E+03,9.92893E+00,4.05371E+03
1.25326E+01,3.18339E+02,1.33044E+01,2.39053E+02,1.25326E+01,3.89181E+02,1.25326E+01,3.88065E+02,9.99591E+00,4.76650E+03,9.92417E+00,4.00600E+03
1.25289E+01,3.16968E+02,1.33001E+01,2.40105E+02,1.25289E+01,3.90071E+02,1.25289E+01,3.94997E+02,9.99110E+00,4.74203E+03,9.91942E+00,3.95624E+03
1.25251E+01,3.21054E+02,1.32958E+01,2.42937E+02,1.25251E+01,3.94895E+02,1.25251E+01,4.12868E+02,9.98629E+00,4.71248E+03,9.91468E+00,3.90583E+03
1.25213E+01,3.23464E+02,1.32916E+01,2.41442E+02,1.25213E+01,3.88164E+02,1.25213E+01,4.05134E+02,9.98148E+00,4.68496E+03,9.90995E+00,3.85736E+03
1.25175E+01,3.38510E+02,1.32873E+01,2.44270E+02,1.25175E+01,3.92913E+02,1.25175E+01,3.96108E+02,9.97668E+00,4.66324E+03,9.90522E+00,3.80777E+03
1.25137E+01,3.33390E+02,1.32831E+01,2.41894E+02,1.25137E+01,3.90134E+02,1.25137E+01,3.96195E+02,9.97189E+00,4.63631E+03,9.90049E+00,3.75663E+03
1.25100E+01,3.28367E+02,1.32788E+01,2.42480E+02,1.25100E+01,3.94595E+02,1.25100E+01,3.97872E+02,9.96710E+00,4.60589E+03,9.89577E+00,3.70375E+03
1.25062E+01,3.27249E+02,1.32746E+01,2.44606E+02,1.25062E+01,3.98025E+02,1.25062E+01,4.02918E+02,9.96230E+00,4.57094E+03,9.89105E+00,3.65292E+03
1.25024E+01,3.34546E+02,1.32703E+01,2.40374E+02,1.25024E+01,3.98117E+02,1.25024E+01,4.02204E+02,9.95752E+00,4.53396E+03,9.88634E+00,3.59813E+03
1.24987E+01,3.39931E+02,1.32661E+01,2.40840E+02,1.24987E+01,4.01276E+02,1.24987E+01,4.07167E+02,9.95274E+00,4.49393E+03,9.88162E+00,3.54445E+03
1.24949E+01,3.39016E+02,1.32618E+01,2.39793E+02,1.24949E+01,4.00011E+02,1.24949E+01,4.03361E+02,9.94797E+00,4.45332E+03,9.87691E+00,3.49148E+03
1.24911E+01,3.44859E+02,1.32576E+01,2.34251E+02,1.24911E+01,4.02879E+02,1.24911E+01,4.05988E+02,9.94320E+00,4.40764E+03,9.87221E+00,3.44265E+03
1.24874E+01,3.42121E+02,1.32534E+01,2.37452E+02,1.24874E+01,4.02530E+02,1.24874E+01,4.07007E+02,9.93844E+00,4.36836E+03,9.86752E+00,3.39272E+03
1.24836E+01,3.50801E+02,1.32491E+01,2.43818E+02,1.24836E+01,4.11919E+02,1.24836E+01,4.11200E+02,9.93368E+00,4.32632E+03,9.86283E+00,3.34182E+03
1.24799E+01,3.50734E+02,1.32449E+01,2.41920E+02,1.24799E+01,4.11118E+02,1.24799E+01,4.14065E+02,9.92893E+00,4.27613E+03,9.85814E+00,3.29022E+03
1.24761E+01,3.52716E+02,1.32407E+01,2.38166E+02,1.24761E+01,4.09271E+02,1.24761E+01,4.11210E+02,9.92417E+00,4.22814E+03,9.85346E+00,3.24016E+03
1.24724E+01,3.55269E+02,1.32365E+01,2.39446E+02,1.24724E+01,4.14253E+02,1.24724E+01,4.15777E+02,9.91942E+00,4.18378E+03,9.84878E+00,3.19116E+03
1.24686E+01,3.59445E+02,1.32322E+01,2.36436E+02,1.24686E+01,4.14666E+02,1.24686E+01,4.16622E+02,9.91468E+00,4.13504E+03,9.84410E+00,3.14394E+03
1.24649E+01,3.66338E+02,1.32280E+01,2.34270E+02,1.24649E+01,4.20351E+02,1.24649E+01,4.24017E+02,9.90995E+00,4.08287E+03,9.83943E+00,3.09473E+03
1.24611E+01,3.65698E+02,1.32238E+01,2.34450E+02,1.24611E+01,4.19569E+02,1.24611E+01,4.23911E+02,9.90522E+00,4.03062E+03,9.83477E+00,3.04661E+03
1.24574E+01,3.69946E+02,1.32196E+01,2.40944E+02,1.24574E+01,4.29367E+02,1.24574E+01,4.30644E+02,9.90049E+00,3.97772E+03,9.83011E+00,2.99798E+03
1.24536E+01,3.66391E+02,1.32154E+01,2.38521E+02,1.24536E+01,4.31883E+02,1.24536E+01,4.32881E+02,9.89577E+00,3.92645E+03,9.82545E+00,2.95134E+03
1.24499E+01,3.72823E+02,1.32112E+01,2.39635E+02,1.24499E+01,4.40620E+02,1.24499E+01,4.42907E+02,9.89105E+00,3.87975E+03,9.82080E+00,2.90554E+03
1.24462E+01,3.76340E+02,1.32070E+01,2.43802E+02,1.24462E+01,4.47988E+02,1.24462E+01,4.59369E+02,9.88634E+00,3.82695E+03,9.81615E+00,2.86052E+03
1.24424E+01,3.76896E+02,1.32028E+01,2.48613E+02,1.24424E+01,4.39408E+02,1.24424E+01,4.47390E+02,9.88162E+00,3.77139E+03,9.81150E+00,2.81445E+03
1.24387E+01,3.69346E+02,1.31986E+01,2.53860E+02,1.24387E+01,4.41509E+02,1.24387E+01,4.41520E+02,9.87691E+00,3.71755E+03,9.80686E+00,2.77012E+03
1.24350E+01,3.58181E+02,1.31944E+01,2.51870E+02,1.24350E+01,4.46210E+02,1.24350E+01,4.37319E+02,9.87221E+00,3.66266E+03,9.80223E+00,2.72766E+03
1.24312E+01,3.68053E+02,1.31902E+01,2.44692E+02,1.24312E+01,4.49870E+02,1.24312E+01,4.43959E+02,9.86752E+00,3.60826E+03,9.79760E+00,2.68735E+03
1.24275E+01,3.71807E+02,1.31860E+01,2.43158E+02,1.24275E+01,4.46517E+02,1.24275E+01,4.50935E+02,9.86283E+00,3.55415E+03,9.79298E+00,2.64677E+03
1.24238E+01,3.76828E+02,1.31818E+01,2.48231E+02,1.24238E+01,4.48051E+02,1.24238E+01,4.56511E+02,9.85814E+00,3.49811E+03,9.78836E+00,2.60747E+03
1.24201E+01,3.77225E+02,1.31776E+01,2.45936E+02,1.24201E+01,4.47485E+02,1.24201E+01,4.59301E+02,9.85346E+00,3.44770E+03,9.78374E+00,2.56624E+03
1.24164E+01,3.80932E+02,1.31734E+01,2.46687E+02,1.24164E+01,4.50186E+02,1.24164E+01,4.57437E+02,9.84878E+00,3.39533E+03,9.77913E+00,2.52572E+03
1.24126E+01,3.85159E+02,1.31692E+01,2.49089E+02,1.24126E+01,4.52891E+02,1.24126E+01,4.59839E+02,9.84410E+00,3.34532E+03,9.77451E+00,2.48587E+03
1.24089E+01,3.86150E+02,1.31650E+01,2.45257E+02,1.24089E+01,4.46832E+02,1.24089E+01,4.53376E+02,9.83943E+00,3.29801E+03,9.76991E+00,2.44738E+03
1.24052E+01,3.91031E+02,1.31609E+01,2.39317E+02,1.24052E+01,4.52291E+02,1.24052E+01,4.55406E+02,9.83477E+00,3.24771E+03,9.76531E+00,2.41096E+03
1.24015E+01,3.91092E+02,1.31567E+01,2.37129E+02,1.24015E+01,4.51570E+02,1.24015E+01,4.54036E+02,9.83011E+00,3.19612E+03,9.76072E+00,2.37614E+03
1.23978E+01,3.96882E+02,1.31525E+01,2.40501E+02,1.23978E+01,4.58147E+02,1.23978E+01,4.58437E+02,9.82545E+00,3.14929E+03,9.75613E+00,2.33972E+03
1.23941E+01,3.92585E+02,1.31484E+01,2.38990E+02,1.23941E+01,4.60117E+02,1.23941E+01,4.62257E+02,9.82080E+00,3.10509E+03,9.75154E+00,2.30651E+03
1.23904E+01,3.97936E+02,1.31442E+01,2.41802E+02,1.23904E+01,4.65281E+02,1.23904E+01,4.63958E+02,9.81615E+00,3.05829E+03,9.74696E+00,2.27320E+03
1.23867E+01,4.03591E+02,1.31400E+01,2.43637E+02,1.23867E+01,4.67314E+02,1.23867E+01,4.70572E+02,9.81150E+00,3.00784E+03,9.74238E+00,2.23955E+03
1.23830E+01,4.06022E+02,1.31359E+01,2.44008E+02,1.23830E+01,4.63351E+02,1.23830E+01,4.71576E+02,9.80686E+00,2.95928E+03,9.73780E+00,2.20833E+03
1.23793E+01,4.11981E+02,1.31317E+01,2.44503E+02,1.23793E+01,4.74319E+02,1.23793E+01,4.76509E+02,9.80223E+00,2.91366E+03,9.73323E+00,2.17741E+03
1.23756E+01,4.13219E+02,1.31275E+01,2.42161E+02,1.23756E+01,4.80804E+02,1.23756E+01,4.75156E+02,9.79760E+00,2.87228E+03,9.72867E+00,2.14621E+03
1.23719E+01,4.20095E+02,1.31234E+01,2.42202E+02,1.23719E+01,4.84918E+02,1.23719E+01,4.82282E+02,9.79298E+00,2.83275E+03,9.72411E+00,2.11664E+03
1.23682E+01,4.20336E+02,1.31192E+01,2.45037E+02,1.23682E+01,4.79104E+02,1.23682E+01,4.81059E+02,9.78836E+00,2.79050E+03,9.71955E+00,2.08670E+03
1.23645E+01,4.19662E+02,1.31151E+01,2.48145E+02,1.23645E+01,4.77396E+02,1.23645E+01,4.86735E+02,9.78374E+00,2.74552E+03,9.71500E+00,2.05936E+03
1.23609E+01,4.21171E+02,1.31110E+01,2.53530E+02,1.23609E+01,4.88878E+02,1.23609E+01,4.89124E+02,9.77913E+00,2.70317E+03,9.71045E+00,2.03213E+03
1.23572E+01,4.27977E+02,1.31068E+01,2.63782E+02,1.23572E+01,4.94169E+02,1.23572E+01,4.88049E+02,9.77451E+00,2.66369E+03,9.70591E+00,2.00611E+03
1.23535E+01,4.28868E+02,1.31027E+01,2.53551E+02,1.23535E+01,4.96775E+02,1.23535E+01,4.96720E+02,9.76991E+00,2.62466E+03,9.70137E+00,1.98062E+03
1.23498E+01,4.28349E+02,1.30985E+01,2.43620E+02,1.23498E+01,4.91726E+02,1.23498E+01,4.96671E+02,9.76531E+00,2.58611E+03,9.69683E+00,1.95570E+03
1.23461E+01,4.32673E+02,1.30944E+01,2.47516E+02,1.23461E+01,4.97915E+02,1.23461E+01,5.01320E+02,9.76072E+00,2.54910E+03,9.69230E+00,1.93074E+03
1.23425E+01,4.30640E+02,1.30903E+01,2.48467E+02,1.23425E+01,4.99951E+02,1.23425E+01,5.03584E+02,9.75613E+00,2.50923E+03,9.68777E+00,1.90792E+03
1.23388E+01,4.36341E+02,1.30861E+01,2.52688E+02,1.23388E+01,5.02586E+02,1.23388E+01,5.06837E+02,9.75154E+00,2.47129E+03,9.68325E+00,1.88597E+03
1.23351E+01,4.38488E+02,1.30820E+01,2.48665E+02,1.23351E+01,5.02109E+02,1.23351E+01,5.08314E+02,9.74696E+00,2.43956E+03,9.67873E+00,1.86526E+03
1.23315E+01,4.41844E+02,1.30779E+01,2.49447E+02,1.23315E+01,5.05234E+02,1.23315E+01,5.07127E+02,9.74238E+00,2.40719E+03,9.67422E+00,1.84377E+03
1.23278E+01,4.43616E+02,1.30738E+01,2.51154E+02,1.23278E+01,5.08686E+02,1.23278E+01,5.09036E+02,9.73780E+00,2.37103E+03,9.66971E+00,1.82442E+03
1.23241E+01,4.46839E+02,1.30696E+01,2.52673E+02,1.23241E+01,5.05288E+02,1.23241E+01,5.09543E+02,9.73323E+00,2.33656E+03,9.66520E+00,1.80599E+03
1.23205E+01,4.56725E+02,1.30655E+01,2.49925E+02,1.23205E+01,5.13442E+02,1.23205E+01,5.16209E+02,9.72867E+00,2.30521E+03,9.66070E+00,1.78679E+03
1.23168E+01,4.56192E+02,1.30614E+01,2.49316E+02,1.23168E+01,5.13268E+02,1.23168E+01,5.15048E+02,9.72411E+00,2.27461E+03,9.65620E+00,1.76901E+03
1.23132E+01,4.62992E+02,1.30573E+01,2.51974E+02,1.23132E+01,5.15454E+02,1.23132E+01,5.14388E+02,9.71955E+00,2.24365E+03,9.65171E+00,1.75299E+03
1.23095E+01,4.65204E+02,1.30532E+01,2.50463E+02,1.23095E+01,5.16912E+02,1.23095E+01,5.16000E+02,9.71500E+00,2.21383E+03,9.64722E+00,1.73561E+03
1.23059E+01,4.67811E+02,1.30491E+01,2.51696E+02,1.23059E+01,5.19123E+02,1.23059E+01,5.19006E+02,9.71045E+00,2.18617E+03,9.64274E+00,1.71953E+03
1.23022E+01,4.69202E+02,1.30450E+01,2.52779E+02,1.23022E+01,5.24460E+02,1.23022E+01,5.25387E+02,9.70591E+00,2.15833E+03,9.63826E+00,1.70386E+03
1.22986E+01,4.75150E+02,1.30409E+01,2.52057E+02,1.22986E+01,5.26044E+02,1.22986E+01,5.26704E+02,9.70137E+00,2.12954E+03,9.63378E+00,1.68938E+03
1.22949E+01,4.82264E+02,1.30368E+01,2.48733E+02,1.22949E+01,5.36381E+02,1.22949E+01,5.37852E+02,9.69683E+00,2.10508E+03,9.62931E+00,1.67456E+03
1.22913E+01,4.80561E+02,1.30327E+01,2.51625E+02,1.22913E+01,5.34102E+02,1.22913E+01,5.44388E+02,9.69230E+00,2.08061E+03,9.62483E+00,1.66058E+03
1.22876E+01,4.90754E+02,1.30286E+01,2.55457E+02,1.22876E+01,5.40888E+02,1.22876E+01,5.58311E+02,9.68777E+00,2.05410E+03,9.62037E+00,1.64710E+03
1.22840E+01,4.91922E+02,1.30245E+01,2.51876E+02,1.22840E+01,5.54959E+02,1.22840E+01,5.70098E+02,9.68325E+00,2.02906E+03,9.61591E+00,1.63539E+03
1.22804E+01,4.90295E+02,1.30204E+01,2.52217E+02,1.22804E+01,5.59691E+02,1.22804E+01,5.69761E+02,9.67873E+00,2.00770E+03,9.61146E+00,1.62485E+03
1.22767E+01,4.90475E+02,1.30163E+01,2.52052E+02,1.22767E+01,5.66332E+02,1.22767E+01,5.73949E+02,9.67422E+00,1.98659E+03,9.60701E+00,1.61503E+03
1.22731E+01,4.99921E+02,1.30122E+01,2.54134E+02,1.22731E+01,5.73082E+02,1.22731E+01,5.72656E+02,9.66971E+00,1.96535E+03,9.60256E+00,1.60501E+03
1.22695E+01,5.08738E+02,1.30082E+01,2.53656E+02,1.22695E+01,5.75962E+02,1.22695E+01,5.77806E+02,9.66520E+00,1.94401E+03,9.59812E+00,1.59633E+03
1.22658E+01,5.07709E+02,1.30041E+01,2.60413E+02,1.22658E+01,5.70427E+02,1.22658E+01,5.73175E+02,9.66070E+00,1.92406E+03,9.59367E+00,1.58616E+03
1.22622E+01,5.11470E+02,1.30000E+01,2.63080E+02,1.22622E+01,5.75096E+02,1.22622E+01,5.79031E+02,9.65620E+00,1.90413E+03,9.58924E+00,1.57580E+03
1.22586E+01,5.09177E+02,1.29959E+01,2.67025E+02,1.22586E+01,5.75986E+02,1.22586E+01,5.81050E+02,9.65171E+00,1.88476E+03,9.58481E+00,1.56487E+03
1.22550E+01,5.15512E+02,1.29919E+01,2.68246E+02,1.22550E+01,5.79791E+02,1.22550E+01,5.85618E+02,9.64722E+00,1.86711E+03,9.58038E+00,1.55648E+03
1.22513E+01,5.17727E+02,1.29878E+01,2.64781E+02,1.22513E+01,5.79881E+02,1.22513E+01,5.91172E+02,9.64274E+00,1.85028E+03,9.57596E+00,1.54870E+03
1.22477E+01,5.20425E+02,1.29837E+01,2.65901E+02,1.22477E+01,5.80778E+02,1.22477E+01,5.92140E+02,9.63826E+00,1.83445E+03,9.57154E+00,1.54117E+03
1.22441E+01,5.24896E+02,1.29797E+01,2.64347E+02,1.22441E+01,5.85383E+02,1.22441E+01,5.92667E+02,9.63378E+00,1.81985E+03,9.56713E+00,1.53431E+03
1.22405E+01,5.27834E+02,1.29756E+01,2.63908E+02,1.22405E+01,5.87565E+02,1.22405E+01,5.93125E+02,9.62931E+00,1.80646E+03,9.56272E+00,1.52736E+03
1.22369E+01,5.33641E+02,1.29716E+01,2.65881E+02,1.22369E+01,5.94863E+02,1.22369E+01,5.99512E+02,9.62483E+00,1.79180E+03,9.55831E+00,1.52042E+03
1.22333E+01,5.35785E+02,1.29675E+01,2.65132E+02,1.22333E+01,5.98430E+02,1.22333E+01,6.00581E+02,9.62037E+00,1.77744E+03,9.55390E+00,1.51622E+03
1.22297E+01,5.45236E+02,1.29635E+01,2.62152E+02,1.22297E+01,6.05578E+02,1.22297E+01,6.05540E+02,9.61591E+00,1.76443E+03,9.54950E+00,1.51126E+03
1.22261E+01,5.48144E+02,1.29594E+01,2.60007E+02,1.22261E+01,6.02429E+02,1.22261E+01,6.10902E+02,9.61146E+00,1.75130E+03,9.54511E+00,1.50520E+03
1.22225E+01,5.53169E+02,1.29554E+01,2.62939E+02,1.22225E+01,6.07580E+02,1.22225E+01,6.16140E+02,9.60701E+00,1.73857E+03,9.54072E+00,1.49708E+03
1.22189E+01,5.62997E+02,1.29513E+01,2.61478E+02,1.22189E+01,6.21850E+02,1.22189E+01,6.19205E+02,9.60256E+00,1.72549E+03,9.53633E+00,1.48764E+03
1.22153E+01,5.70751E+02,1.29473E+01,2.67283E+02,1.22153E+01,6.27722E+02,1.22153E+01,6.22057E+02,9.59812E+00,1.71620E+03,9.53195E+00,1.47677E+03
1.22117E+01,5.72038E+02,1.29432E+01,2.65706E+02,1.22117E+01,6.37771E+02,1.22117E+01,6.43410E+02,9.59367E+00,1.70759E+03,9.52758E+00,1.46630E+03
1.22081E+01,5.76243E+02,1.29392E+01,2.62623E+02,1.22081E+01,6.44817E+02,1.22081E+01,6.49980E+02,9.58924E+00,1.69908E+03,9.52319E+00,1.45487E+03
1.22045E+01,5.86533E+02,1.29352E+01,2.60364E+02,1.22045E+01,6.46875E+02,1.22045E+01,6.51183E+02,9.58481E+00,1.68911E+03,9.51882E+00,1.44336E+03
1.22009E+01,5.88951E+02,1.29311E+01,2.70227E+02,1.22009E+01,6.53611E+02,1.22009E+01,6.51848E+02,9.58038E+00,1.67912E+03,9.51446E+00,1.43089E+03
1.21973E+01,5.95132E+02,1.29271E+01,2.73856E+02,1.21973E+01,6.63769E+02,1.21973E+01,6.59870E+02,9.57596E+00,1.67133E+03,9.51010E+00,1.41882E+03
1.21937E+01,5.98723E+02,1.29231E+01,2.69254E+02,1.21937E+01,6.66618E+02,1.21937E+01,6.69365E+02,9.57154E+00,1.66448E+03,9.50574E+00,1.40617E+03
1.21901E+01,6.06717E+02,1.29190E+01,2.72240E+02,1.21901E+01,6.68695E+02,1.21901E+01,6.74138E+02,9.56713E+00,1.65833E+03,9.50139E+00,1.39216E+03
1.21866E+01,6.10057E+02,1.29150E+01,2.75126E+02,1.21866E+01,6.79116E+02,1.21866E+01,6.80695E+02,9.56272E+00,1.65298E+03,9.49704E+00,1.37564E+03
1.21830E+01,6.14854E+02,1.29110E+01,2.82494E+02,1.21830E+01,6.85755E+02,1.21830E+01,6.86144E+02,9.55831E+00,1.64866E+03,9.49269E+00,1.35921E+03
1.21794E+01,6.21442E+02,1.29070E+01,2.80836E+02,1.21794E+01,6.96440E+02,1.21794E+01,6.95754E+02,9.55390E+00,1.64524E+03,9.48835E+00,1.34282E+03
1.21758E+01,6.25824E+02,1.29030E+01,2.81035E+02,1.21758E+01,6.98306E+02,1.21758E+01,6.98359E+02,9.54950E+00,1.64134E+03,9.48400E+00,1.32513E+03
1.21723E+01,6.38278E+02,1.28990E+01,2.81256E+02,1.21723E+01,7.02033E+02,1.21723E+01,7.01011E+02,9.54511E+00,1.63786E+03,9.47967E+00,1.30673E+03
1.21687E+01,6.40279E+02,1.28949E+01,2.81017E+02,1.21687E+01,7.03569E+02,1.21687E+01,7.03235E+02,9.54072E+00,1.63229E+03,9.47534E+00,1.28945E+03
1.21651E+01,6.43045E+02,1.28909E+01,2.83136E+02,1.21651E+01,7.04759E+02,1.21651E+01,7.07042E+02,9.53633E+00,1.62451E+03,9.47102E+00,1.27109E+03
1.21616E+01,6.48467E+02,1.28869E+01,2.80250E+02,1.21616E+01,7.09526E+02,1.21616E+01,7.10633E+02,9.53195E+00,1.61560E+03,9.46669E+00,1.25237E+03
1.21580E+01,6.54491E+02,1.28829E+01,2.84153E+02,1.21580E+01,7.16854E+02,1.21580E+01,7.09118E+02,9.52758E+00,1.60856E+03,9.46238E+00,1.23535E+03
1.21544E+01,6.62808E+02,1.28789E+01,2.83260E+02,1.21544E+01,7.25196E+02,1.21544E+01,7.19916E+02,9.52319E+00,1.60125E+03,9.45806E+00,1.22002E+03
1.21509E+01,6.66706E+02,1.28749E+01,2.83427E+02,1.21509E+01,7.28147E+02,1.21509E+01,7.28889E+02,9.51882E+00,1.59316E+03,9.45375E+00,1.20434E+03
1.21473E+01,6.76662E+02,1.28709E+01,2.86489E+02,1.21473E+01,7.33962E+02,1.21473E+01,7.34236E+02,9.51446E+00,1.58352E+03,9.44944E+00,1.18982E+03
1.21438E+01,6.87157E+02,1.28670E+01,2.87355E+02,1.21438E+01,7.47640E+02,1.21438E+01,7.38886E+02,9.51010E+00,1.57007E+03,9.44514E+00,1.17617E+03
1.21402E+01,6.99232E+02,1.28630E+01,2.85462E+02,1.21402E+01,7.74028E+02,1.21402E+01,7.50055E+02,9.50574E+00,1.55651E+03,9.44084E+00,1.16400E+03
1.21366E+01,7.05615E+02,1.28590E+01,2.78853E+02,1.21366E+01,7.80340E+02,1.21366E+01,7.58385E+02,9.50139E+00,1.54341E+03,9.43654E+00,1.15122E+03
1.21331E+01,7.15750E+02,1.28550E+01,2.76822E+02,1.21331E+01,7.71485E+02,1.21331E+01,7.65950E+02,9.49704E+00,1.52737E+03,9.43225E+00,1.13882E+03
1.21295E+01,7.23304E+02,1.28510E+01,2.77528E+02,1.21295E+01,7.80227E+02,1.21295E+01,7.87650E+02,9.49269E+00,1.50960E+03,9.42797E+00,1.12749E+03
1.21260E+01,7.31880E+02,1.28470E+01,2.90077E+02,1.21260E+01,7.93443E+02,1.21260E+01,7.97892E+02,9.48835E+00,1.49184E+03,9.42369E+00,1.11632E+03
1.21225E+01,7.43018E+02,1.28431E+01,2.98802E+02,1.21225E+01,8.08301E+02,1.21225E+01,8.10008E+02,9.48400E+00,1.47281E+03,9.41941E+00,1.10474E+03
1.21189E+01,7.49617E+02,1.28391E+01,2.96726E+02,1.21189E+01,8.15604E+02,1.21189E+01,8.18971E+02,9.47967E+00,1.45229E+03,9.41512E+00,1.09448E+03
1.21154E+01,7.59493E+02,1.28351E+01,2.95767E+02,1.21154E+01,8.24324E+02,1.21154E+01,8.27674E+02,9.47534E+00,1.43275E+03,9.41085E+00,1.08448E+03
1.21118E+01,7.66885E+02,1.28311E+01,2.92953E+02,1.21118E+01,8.31435E+02,1.21118E+01,8.36017E+02,9.47102E+00,1.41231E+03,9.40659E+00,1.07582E+03
1.21083E+01,7.77310E+02,1.28272E+01,2.96956E+02,1.21083E+01,8.43605E+02,1.21083E+01,8.43433E+02,9.46669E+00,1.39264E+03,9.40232E+00,1.06879E+03
1.21048E+01,7.85978E+02,1.28232E+01,2.97999E+02,1.21048E+01,8.54567E+02,1.21048E+01,8.54904E+02,9.46238E+00,1.37509E+03,9.39806E+00,1.06204E+03
1.21012E+01,7.97109E+02,1.28192E+01,3.02367E+02,1.21012E+01,8.63723E+02,1.21012E+01,8.62069E+02,9.45806E+00,1.35575E+03,9.39381E+00,1.05416E+03
1.20977E+01,8.09753E+02,1.28153E+01,3.01180E+02,1.20977E+01,8.78898E+02,1.20977E+01,8.71123E+02,9.45375E+00,1.33682E+03,9.38956E+00,1.04729E+03
1.20942E+01,8.14862E+02,1.28113E+01,3.04206E+02,1.20942E+01,8.90127E+02,1.20942E+01,8.79647E+02,9.44944E+00,1.31999E+03,9.38531E+00,1.03989E+03
1.20907E+01,8.25983E+02,1.28074E+01,3.03405E+02,1.20907E+01,8.98946E+02,1.20907E+01,8.92851E+02,9.44514E+00,1.30313E+03,9.38106E+00,1.03334E+03
1.20871E+01,8.36988E+02,1.28034E+01,3.04604E+02,1.20871E+01,9.02848E+02,1.20871E+01,9.00380E+02,9.44084E+00,1.28663E+03,9.37682E+00,1.02639E+03
1.20836E+01,8.44938E+02,1.27995E+01,3.06390E+02,1.20836E+01,9.07854E+02,1.20836E+01,9.06851E+02,9.43654E+00,1.27109E+03,9.37258E+00,1.01918E+03
1.20801E+01,8.55942E+02,1.27955E+01,3.02623E+02,1.20801E+01,9.13746E+02,1.20801E+01,9.14947E+02,9.43225E+00,1.25645E+03,9.36835E+00,1.01261E+03
1.20766E+01,8.66930E+02,1.27916E+01,3.07939E+02,1.20766E+01,9.26250E+02,1.20766E+01,9.22870E+02,9.42797E+00,1.24269E+03,9.36412E+00,1.00626E+03
1.20731E+01,8.74268E+02,1.27876E+01,3.06809E+02,1.20731E+01,9.44858E+02,1.20731E+01,9.32349E+02,9.42369E+00,1.23015E+03,9.35990E+00,9.99917E+02
1.20696E+01,8.88122E+02,1.27837E+01,3.06713E+02,1.20696E+01,9.60945E+02,1.20696E+01,9.49697E+02,9.41941E+00,1.21764E+03,9.35567E+00,9.94504E+02
1.20660E+01,9.10216E+02,1.27797E+01,3.02906E+02,1.20660E+01,9.85759E+02,1.20660E+01,9.69051E+02,9.41512E+00,1.20693E+03,9.35145E+00,9.89354E+02
1.20625E+01,9.27415E+02,1.27758E+01,2.99922E+02,1.20625E+01,9.90630E+02,1.20625E+01,9.79393E+02,9.41085E+00,1.19746E+03,9.34724E+00,9.85282E+02
1.20590E+01,9.36313E+02,1.27719E+01,3.02271E+02,1.20590E+01,9.90313E+02,1.20590E+01,9.89072E+02,9.40659E+00,1.18868E+03,9.34303E+00,9.82531E+02
1.20555E+01,9.39056E+02,1.27679E+01,3.04635E+02,1.20555E+01,1.00041E+03,1.20555E+01,1.00390E+03,9.40232E+00,1.18016E+03,9.33882E+00,9.79426E+02
1.20520E+01,9.50629E+02,1.27640E+01,3.10620E+02,1.20520E+01,1.01764E+03,1.20520E+01,1.02062E+03,9.39806E+00,1.17161E+03,9.33462E+00,9.74169E+02
1.20485E+01,9.73107E+02,1.27601E+01,3.07991E+02,1.20485E+01,1.03973E+03,1.20485E+01,1.03401E+03,9.39381E+00,1.16372E+03,9.33042E+00,9.68969E+02
1.20450E+01,9.92625E+02,1.27562E+01,3.12847E+02,1.20450E+01,1.05023E+03,1.20450E+01,1.04515E+03,9.38956E+00,1.15513E+03,9.32623E+00,9.64229E+02
1.20415E+01,1.00617E+03,1.27522E+01,3.11264E+02,1.20415E+01,1.06195E+03,1.20415E+01,1.06051E+03,9.38531E+00,1.14521E+03,9.32204E+00,9.60079E+02
1.20380E+01,1.01874E+03,1.27483E+01,3.12387E+02,1.20380E+01,1.07570E+03,1.20380E+01,1.07857E+03,9.38106E+00,1.13863E+03,9.31785E+00,9.55093E+02
1.20345E+01,1.03797E+03,1.27444E+01,3.13469E+02,1.20345E+01,1.09609E+03,1.20345E+01,1.09808E+03,9.37682E+00,1.13232E+03,9.31366E+00,9.51270E+02
1.20310E+01,1.05795E+03,1.27405E+01,3.14129E+02,1.20310E+01,1.11894E+03,1.20310E+01,1.11749E+03,9.37258E+00,1.12428E+03,9.30948E+00,9.47698E+02
1.20276E+01,1.07190E+03,1.27366E+01,3.17571E+02,1.20276E+01,1.13495E+03,1.20276E+01,1.13097E+03,9.36835E+00,1.11778E+03,9.30530E+00,9.45128E+02
