# L um,San 8K ,L um,San 20K ,L um,san carlos 50K,L um,san carlos 100K,L um,san carlos 200K mir&fir,L um,san 292K
9.44945E+01,,1.67948E+02,,9.44945E+01,,9.44945E+01,,9.44945E+01,,9.44945E+01,
9.42797E+01,7.15890E+00,1.67270E+02,,9.42797E+01,3.92480E+00,9.42797E+01,1.03587E+01,9.42797E+01,1.44354E+01,9.42797E+01,1.68656E+01
9.40659E+01,1.16975E+01,1.66599E+02,,9.40659E+01,1.20752E+01,9.40659E+01,1.68049E+01,9.40659E+01,2.12439E+01,9.40659E+01,2.29482E+01
9.38531E+01,2.41300E+00,1.65932E+02,,9.38531E+01,4.30400E+00,9.38531E+01,7.10870E+00,9.38531E+01,1.29573E+01,9.38531E+01,1.40112E+01
9.36412E+01,,1.65271E+02,,9.36412E+01,,9.36412E+01,,9.36412E+01,,9.36412E+01,
9.34303E+01,,1.64615E+02,,9.34303E+01,,9.34303E+01,,9.34303E+01,,9.34303E+01,
9.32204E+01,,1.63965E+02,,9.32204E+01,,9.32204E+01,,9.32204E+01,,9.32204E+01,1.44690E+00
9.30113E+01,8.38700E+00,1.63319E+02,5.39119E+00,9.30113E+01,9.07950E+00,9.30113E+01,1.05512E+01,9.30113E+01,1.66352E+01,9.30113E+01,2.12305E+01
9.28033E+01,2.81818E+01,1.62679E+02,8.73564E+00,9.28033E+01,2.93561E+01,9.28033E+01,3.13304E+01,9.28033E+01,3.62461E+01,9.28033E+01,3.85525E+01
9.25961E+01,3.29181E+01,1.62043E+02,,9.25961E+01,3.27249E+01,9.25961E+01,3.47229E+01,9.25961E+01,3.90780E+01,9.25961E+01,4.16399E+01
9.23898E+01,2.00911E+01,1.61413E+02,,9.23898E+01,1.95482E+01,9.23898E+01,2.19470E+01,9.23898E+01,2.61663E+01,9.23898E+01,2.75834E+01
9.21846E+01,,1.60787E+02,,9.21846E+01,,9.21846E+01,8.37400E-01,9.21846E+01,5.95290E+00,9.21846E+01,5.85990E+00
9.19802E+01,,1.60166E+02,,9.19802E+01,,9.19802E+01,,9.19802E+01,,9.19802E+01,
9.17766E+01,,1.59550E+02,8.76881E+00,9.17766E+01,,9.17766E+01,,9.17766E+01,5.36600E-01,9.17766E+01,2.30070E+00
9.15741E+01,8.87790E+00,1.58939E+02,1.53923E+01,9.15741E+01,8.94490E+00,9.15741E+01,1.11081E+01,9.15741E+01,1.64574E+01,9.15741E+01,1.78718E+01
9.13723E+01,1.72960E+01,1.58332E+02,8.81415E+00,9.13723E+01,1.75907E+01,9.13723E+01,1.94968E+01,9.13723E+01,2.47629E+01,9.13723E+01,2.48561E+01
9.11716E+01,1.09009E+01,1.57730E+02,,9.11716E+01,1.10719E+01,9.11716E+01,1.36473E+01,9.11716E+01,1.80717E+01,9.11716E+01,1.86295E+01
9.09716E+01,,1.57133E+02,,9.09716E+01,,9.09716E+01,,9.09716E+01,,9.09716E+01,2.22670E+00
9.07725E+01,,1.56540E+02,,9.07725E+01,,9.07725E+01,,9.07725E+01,,9.07725E+01,
9.05744E+01,,1.55951E+02,,9.05744E+01,,9.05744E+01,,9.05744E+01,,9.05744E+01,
9.03770E+01,,1.55367E+02,,9.03770E+01,,9.03770E+01,,9.03770E+01,2.16000E+00,9.03770E+01,9.19300E+00
9.01806E+01,1.53585E+01,1.54787E+02,1.69934E-02,9.01806E+01,1.49880E+01,9.01806E+01,1.78330E+01,9.01806E+01,2.41039E+01,9.01806E+01,3.20453E+01
8.99849E+01,2.62109E+01,1.54212E+02,,8.99849E+01,2.68769E+01,8.99849E+01,2.95138E+01,8.99849E+01,3.50007E+01,8.99849E+01,3.97151E+01
8.97901E+01,1.88359E+01,1.53641E+02,,8.97901E+01,2.03373E+01,8.97901E+01,2.33818E+01,8.97901E+01,2.87602E+01,8.97901E+01,3.02167E+01
8.95963E+01,3.51470E+00,1.53074E+02,,8.95963E+01,5.08140E+00,8.95963E+01,8.68440E+00,8.95963E+01,1.45952E+01,8.95963E+01,1.37548E+01
8.94031E+01,,1.52511E+02,,8.94031E+01,,8.94031E+01,,8.94031E+01,8.91300E-01,8.94031E+01,8.56100E-01
8.92108E+01,,1.51953E+02,6.09739E+00,8.92108E+01,,8.92108E+01,,8.92108E+01,2.64330E+00,8.92108E+01,3.13120E+00
8.90195E+01,1.49556E+01,1.51398E+02,1.84531E+01,8.90195E+01,1.33546E+01,8.90195E+01,1.57532E+01,8.90195E+01,2.13418E+01,8.90195E+01,2.16752E+01
8.88288E+01,2.68782E+01,1.50847E+02,2.02816E+01,8.88288E+01,2.68605E+01,8.88288E+01,2.94408E+01,8.88288E+01,3.40812E+01,8.88288E+01,3.43983E+01
