# micron,En90
29.58847,984.71438
29.54632,1008.32233
29.5043,1032.55177
29.46239,1058.37803
29.4206,1084.53584
29.37892,1110.27272
29.33737,1134.01326
29.29593,1156.64643
29.25462,1179.46939
29.21341,1199.51714
29.17232,1215.77717
29.13135,1232.04731
29.09049,1249.32852
29.04975,1266.60577
29.00912,1278.10947
28.9686,1287.88201
28.9282,1299.37578
28.88791,1310.88916
28.84773,1321.54894
28.80767,1334.53192
28.76771,1350.23077
28.72786,1363.77026
28.68813,1373.17378
28.64851,1382.66395
28.609,1395.12508
28.56958,1406.85672
28.53029,1415.84282
28.4911,1424.28135
28.45202,1433.62705
28.41304,1440.19772
28.37417,1443.08274
28.33541,1446.05062
28.29676,1447.21077
28.2582,1449.40646
28.21975,1452.43502
28.18141,1452.73958
28.14317,1453.3766
28.10504,1453.32167
28.06701,1451.53403
28.02908,1448.53335
27.99125,1448.83728
27.95353,1449.09346
27.91591,1443.97351
27.87839,1438.19097
27.84096,1434.98256
27.80364,1430.16371
27.76642,1423.46317
27.72931,1417.09551
27.69228,1413.47435
27.65536,1410.49355
27.61853,1406.68011
27.58181,1401.31444
27.54518,1399.74902
27.50864,1404.06568
27.47221,1409.84613
27.43587,1414.95033
27.39963,1423.38666
27.36348,1435.88551
27.32743,1448.5135
27.29147,1462.75665
27.25561,1480.06062
27.21984,1498.92255
27.18417,1519.67225
27.14859,1540.50975
27.1131,1559.61169
27.0777,1580.41338
27.0424,1599.4331
27.00719,1614.79413
26.97207,1628.87625
26.93704,1641.87873
26.9021,1650.15939
26.86725,1651.45735
26.8325,1648.19761
26.79783,1643.13474
26.76325,1634.09895
26.72876,1620.13988
26.69436,1601.60497
26.66005,1581.8647
26.62583,1561.2412
26.59169,1539.26965
26.55765,1514.63127
26.52369,1488.1018
26.48981,1464.32683
26.45602,1441.80508
26.42232,1416.54406
26.38871,1393.6457
26.35517,1372.94875
26.32173,1351.80025
26.28837,1331.83051
26.25508,1312.30398
26.22189,1295.26041
26.18879,1277.06869
26.15576,1258.53264
26.12282,1241.70496
26.08996,1226.44665
26.05719,1211.45066
26.02449,1198.79484
25.99188,1188.52201
25.95935,1179.42545
25.9269,1169.06619
25.89453,1160.30194
25.86224,1153.2169
25.83004,1147.08222
25.79791,1141.95843
25.76586,1136.42939
25.73389,1132.32538
25.70201,1130.2558
25.6702,1130.0143
25.63847,1129.96268
25.60681,1131.41054
25.57524,1136.49798
25.54374,1143.71119
25.51233,1152.10083
25.48098,1165.47624
25.44972,1183.43507
25.41853,1205.31164
25.38742,1231.51601
25.35638,1261.64638
25.32542,1296.08635
25.29454,1332.80111
25.26373,1367.62744
25.233,1394.66525
25.20233,1410.61665
25.17175,1416.03621
25.14124,1413.39457
25.1108,1404.21772
25.08043,1390.74235
25.05014,1376.70477
25.01993,1362.95147
24.98979,1349.1714
24.95971,1334.01387
24.92971,1319.09612
24.89978,1307.22728
24.86993,1297.30364
24.84014,1290.60076
24.81043,1287.51945
24.78079,1287.62937
24.75122,1288.50873
24.72171,1290.98372
24.69228,1296.36677
24.66293,1304.59451
24.63364,1316.27064
24.60441,1330.99498
24.57526,1346.29307
24.54618,1363.88469
24.51717,1382.78143
24.48821,1402.62149
24.45934,1425.84556
24.43053,1451.53971
24.40179,1480.18847
24.37311,1511.95825
24.34451,1544.31032
24.31597,1577.23072
24.2875,1610.38497
24.25909,1646.64195
24.23075,1681.25033
24.20247,1716.44491
24.17426,1754.48131
24.14612,1788.83117
24.11805,1821.0031
24.09004,1853.92689
24.06208,1884.85902
24.0342,1911.20016
24.00639,1934.18386
23.97864,1954.96198
23.95094,1974.75668
23.92332,1992.28738
23.89576,2008.41264
23.86826,2023.97914
23.84083,2038.5291
23.81345,2049.79962
23.78615,2059.64459
23.7589,2068.24977
23.73172,2078.30706
23.70459,2088.287
23.67753,2096.27583
23.65054,2102.88506
23.6236,2109.53823
23.59672,2115.53325
23.56991,2119.26403
23.54316,2119.82662
23.51646,2118.81271
23.48983,2117.93017
23.46326,2117.4272
23.43675,2115.01976
23.41029,2110.6506
23.3839,2101.68582
23.35757,2086.94126
23.33129,2075.19744
23.30508,2063.90905
23.27892,2051.00479
23.25282,2035.55739
23.22679,2014.89128
23.20081,1989.51166
23.17489,1965.48837
23.14902,1939.88098
23.12321,1915.66984
23.09746,1892.00287
23.07177,1864.82016
23.04613,1834.79357
23.02055,1805.33496
22.99503,1776.34766
22.96957,1746.84693
22.94416,1718.73213
22.91881,1694.14485
22.89351,1672.43311
22.86827,1650.35397
22.84308,1629.44558
22.81795,1610.84117
22.79288,1594.70222
22.76786,1580.69559
22.74289,1569.77013
22.71798,1560.36297
22.69313,1551.94266
22.66832,1544.34643
22.64358,1539.95643
22.61889,1537.8868
22.59425,1535.28161
22.56966,1532.23077
22.54513,1529.73617
22.52065,1528.7865
22.49623,1528.20101
22.47185,1528.39773
22.44753,1529.1402
22.42326,1532.21509
22.39905,1538.26784
22.37488,1547.18898
22.35077,1556.55583
22.32672,1566.79678
22.30271,1581.38709
22.27875,1598.17495
22.25485,1618.64703
22.231,1641.23519
22.2072,1664.83339
22.18344,1692.91411
22.15974,1721.43935
22.13609,1748.95185
22.1125,1778.18457
22.08895,1810.26358
22.06544,1845.31417
22.042,1878.93832
22.0186,1910.59886
21.99525,1942.74918
21.97195,1973.34485
21.9487,2003.36846
21.9255,2032.0247
21.90235,2056.32036
21.87924,2079.31463
21.85618,2101.68082
21.83318,2120.3735
21.81022,2131.50466
21.78731,2138.93771
21.76445,2142.50753
21.74164,2145.46835
21.71887,2147.73656
21.69615,2141.45126
21.67348,2131.66751
21.65086,2121.18595
21.62828,2110.51303
21.60575,2098.22811
21.58327,2080.08807
21.56083,2058.0174
21.53844,2040.9348
21.5161,2027.14814
21.4938,2008.61697
21.47155,1991.01943
21.44935,1977.31351
21.42719,1964.34029
21.40508,1954.78331
21.38301,1946.48986
21.36099,1934.88047
21.33901,1927.87243
21.31708,1925.45613
21.2952,1924.73394
21.27335,1925.38683
21.25156,1925.77813
21.2298,1928.31192
21.2081,1929.68307
21.18643,1931.31842
21.16481,1937.68539
21.14324,1948.24999
21.12171,1959.23323
21.10022,1972.21318
21.07878,1991.27914
21.05738,2015.55163
21.03602,2041.92983
21.01471,2069.07972
20.99344,2102.44798
